Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Quarter,Day,DayOfWeek,IsWeekend,Previous_Week_Sales,Rolling_Mean_4,Rolling_STD_4,Sales_Difference,Revenue_Growth
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,2,18,4,0,1542561.09,1523359.9525,76594.02113840077,-39277.03000000003,-2.5462220105655606
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,2,25,4,0,1503284.06,1521020.365,80362.22961956475,-80572.45999999996,-5.359762811560708
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,3,2,4,0,1422711.6,1490243.7225,49908.15900252272,69706.5399999998,4.8995551874322105
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,3,9,4,0,1492418.14,1491121.9949999999,51151.15051575243,53656.04000000004,3.5952417463915336
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,3,16,4,0,1546074.18,1477535.71,53982.92331296985,-97135.26000000001,-6.282703718653397
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,29,3,23,4,0,1448938.92,1468124.1099999999,68149.99963895802,-63873.71999999997,-4.408310048017757
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,3,30,4,0,1385065.2,1438016.225,79497.4828344398,-13078.59999999986,-0.9442587973475806
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,31,3,6,4,0,1371986.6,1452870.625,107157.94638036602,233505.17999999993,17.019494213718993
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,32,3,13,4,0,1605491.78,1467695.335,110482.9544091712,-97254.02000000002,-6.057584424381171
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,33,3,20,4,0,1508237.76,1499699.1575,96184.79455497244,4842.729999999981,0.321085317476734
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,34,3,27,4,0,1513080.49,1518988.2374999998,64579.938806430226,-63937.570000000065,-4.225655569717912
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,35,3,3,4,0,1449142.92,1502656.175,38341.842131551464,91020.6100000001,6.280996080082985
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,36,3,10,4,0,1540163.53,1502461.9074999997,38306.08693123161,-32702.840000000084,-2.1233355655421917
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,37,3,17,4,0,1507460.69,1481786.4525000001,50909.75664281918,-77082.02000000002,-5.113368495201027
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,38,3,24,4,0,1430378.67,1457448.48,84141.29386439837,-78587.6399999999,-5.4941842777898735
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,10,39,4,1,4,0,1351791.03,1435739.9725,64625.64327920404,101538.46999999997,7.511402853442515
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,10,40,4,8,4,0,1453329.5,1435934.7824999997,64914.43604929847,54910.429999999935,3.7782505618994136
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,41,4,15,4,0,1508239.93,1443192.39,65704.22044353343,-48830.82999999984,-3.237603582077279
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,10,42,4,22,4,0,1459409.1,1441608.1325,68652.94005579711,-113955.1000000001,-7.808304059499155
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,43,4,29,4,0,1345454.0,1424328.0625,73263.26946523674,38755.21999999997,2.880456708293258
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,44,4,5,4,0,1384209.22,1435182.9,90927.16391393862,167450.06000000006,12.09716403998523
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,45,4,12,4,0,1551659.28,1443950.4975,95611.96084137318,-57179.79000000004,-3.6850738262590763
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,46,4,19,4,0,1494479.49,1478533.0425,69585.18456978216,-10695.310000000056,-0.7156545186177199
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,11,47,4,26,4,0,1483784.18,1621386.765,224808.4019809472,471839.93000000017,31.79976821157375
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,12,48,4,3,4,0,1955624.11,1620480.39,225190.21958121238,-407590.3300000001,-20.841956688701288
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,12,49,4,10,4,0,1548033.78,1667514.0825,209179.04855628058,134580.47999999998,8.69363974731869
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,50,4,17,4,0,1682614.26,1769326.77,187979.80557788638,208420.66999999993,12.386717202788947
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,51,4,24,4,0,1891034.93,1877408.2925,368452.17199591256,496915.27000000025,26.27742418274634
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,52,4,31,4,0,2387950.2,1832229.85,428489.2565505779,-1020630.1900000002,-42.74084903445642
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,1,1,7,4,0,1367320.01,1772759.355,470613.6815621626,77412.27000000002,5.661605873814428
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,1,2,1,14,4,0,1444732.28,1647754.1125000003,494525.666395813,-53718.320000000065,-3.7182196828882415
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,1,3,1,21,4,0,1391013.96,1382617.9175,49027.656863276796,-63608.54000000004,-4.572818233973729
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,1,4,1,28,4,0,1327405.42,1370012.7425,59611.18760559322,-10506.10999999987,-0.791477105766215
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,2,5,1,4,4,0,1316899.31,1410487.0675,134799.00547446244,289730.27,22.00094326118221
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,2,6,1,11,4,0,1606629.58,1475137.31,177573.11444171303,42985.34999999986,2.6754984804898125
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,2,7,1,18,4,0,1649614.93,1564996.65,168614.2774516193,37227.85000000009,2.2567600064095013
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,2,8,1,25,4,0,1686842.78,1599971.8924999998,100918.14784923608,-230042.5,-13.637459443612165
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,3,9,1,4,4,0,1456800.28,1607380.35,102642.7886173674,179463.1299999999,12.318993376360408
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,3,10,1,11,4,0,1636263.41,1583274.525,100722.259369,-83071.78000000003,-5.076919736291117
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,3,11,1,18,4,0,1553191.63,1555768.3450000002,74663.38536161272,23626.430000000168,1.5211535745914475
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,3,12,1,25,4,0,1576818.06,1576843.87,42298.79810902612,-35715.68000000017,-2.2650476238203514
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,4,13,2,1,4,0,1541102.38,1541544.205,34353.27399302004,-46037.62999999989,-2.987318078114959
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,4,14,2,8,4,0,1495064.75,1556811.135,50859.137162884435,119194.6000000001,7.972537644272604
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,2011,4,15,2,15,4,0,1614259.35,1552578.87,49320.392792910694,-54370.35000000009,-3.3681297865798383
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,2011,4,16,2,22,4,0,1559889.0,1558508.2275,48904.68656360464,4930.810000000056,0.31610005583731
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,2011,4,17,2,29,4,0,1564819.81,1548514.7125,66946.83452985478,-109729.12000000011,-7.012252739821853
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,5,18,2,6,4,0,1455090.69,1552297.695,72127.32710260303,174300.59000000008,11.97867536352666
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,2011,5,19,2,13,4,0,1629391.28,1563519.34,77027.38296939983,-24615.699999999953,-1.5107298229802697
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,2011,5,20,2,20,4,0,1604775.58,1529368.955,102370.80690586701,-176557.31000000006,-11.001993811496062
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,2011,5,21,2,27,4,0,1428218.27,1532107.95,99836.18093564716,37828.39999999991,2.648642773628705
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,6,22,2,3,4,0,1466046.67,1533529.7325,101706.39531884459,169031.74,11.5297652836659
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,6,23,2,10,4,0,1635078.41,1529572.9175,98260.19211085142,-46130.08999999985,-2.8212769319117763
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,2011,6,24,2,17,4,0,1588948.32,1555547.065,73030.28506357533,-56833.45999999996,-3.576797261725917
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,2011,6,25,2,24,4,0,1532114.86,1548742.935,84513.5105789499,-93284.7100000002,-6.0886237993932255
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,2011,7,26,3,1,4,0,1438830.15,1512107.855,63848.500850862445,49707.94000000018,3.45474689976438
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,7,27,3,8,4,0,1488538.09,1498583.185,45132.98170164172,46311.549999999814,3.1112102747736747
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,2011,7,28,3,15,4,0,1534849.64,1479334.4625000001,42401.189724443655,-79729.66999999993,-5.194624145724133
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,2011,7,29,3,22,4,0,1455119.97,1468858.63,58037.43221744261,-58193.14999999991,-3.99919946119631
1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,2011,7,30,3,29,4,0,1396926.82,1434779.0550000002,78902.25754504606,-44707.03000000003,-3.2003845412603664
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,2011,8,31,3,5,4,0,1352219.79,1457162.5825,119175.5398666774,272163.95999999996,20.127198404632132
1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,2011,8,32,3,12,4,0,1624383.75,1474669.3625,123828.10601510033,-99236.65999999992,-6.109188176747023
1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,2011,8,33,3,19,4,0,1525147.09,1508128.0150000001,113467.60320528776,5614.339999999851,0.36811793674273413
1,2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,2011,8,34,3,26,4,0,1530761.43,1536246.4324999999,65932.52931605662,-66067.96999999997,-4.316020034552345
1,2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,2011,9,35,3,2,4,0,1464693.46,1517707.8,36940.958732966385,85535.76000000001,5.839840371786736
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,2011,9,36,3,9,4,0,1550229.22,1521538.8375,38721.342383566014,-9757.979999999981,-0.629454010678497
1,2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,2011,9,37,3,16,4,0,1540471.24,1517413.425,38287.85456008505,-26211.459999999963,-1.7015221913523009
1,2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,2011,9,38,3,23,4,0,1514259.78,1496245.1275,78957.74497687885,-134239.51,-8.865025127986957
1,2011-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,2011,9,39,3,30,4,0,1380020.27,1457328.28,81792.63036397507,14541.560000000056,1.0537207544060245
1,2011-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,2011,10,40,4,7,4,0,1394561.83,1479957.9575,117285.00580521044,236428.11999999988,16.953577454504103
1,2011-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,2011,10,41,4,14,4,0,1630989.95,1474774.4949999999,115711.30667479933,-137464.02000000002,-8.428256716112815
1,2011-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,2011,10,42,4,21,4,0,1493525.93,1505410.1225,96965.59255011339,9036.850000000093,0.6050681691211142
1,2011-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,2011,10,43,4,28,4,0,1502562.78,1518081.9375,79365.57758354135,-57313.689999999944,-3.8143956953332716
1,2011-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,2011,11,44,4,4,4,0,1445249.09,1534641.845,111273.5684345579,251980.49,17.435090721973744
1,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,2011,11,45,4,11,4,0,1697229.58,1559995.085,110332.05812747712,-102290.69000000018,-6.026921237137534
1,2011-11-18,1539483.7,0,62.25,3.308,218.2205088,7.866,2011,11,46,4,18,4,0,1594938.89,1569225.315,105358.03691148979,-55455.189999999944,-3.476947634025022
1,2011-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,2011,11,47,4,25,4,0,1539483.7,1716243.2075,221252.7136182967,493836.95999999996,32.07808955690794
1,2011-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,2011,12,48,4,2,4,0,2033320.66,1687956.8,231489.63818826282,-449236.70999999996,-22.093746394137362
1,2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,2011,12,49,4,9,4,0,1584083.95,1739142.6725,226651.46314464236,215598.42999999993,13.610290666728863
1,2011-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,2011,12,50,4,16,4,0,1799682.38,1824565.915,187291.29446403368,81494.29000000004,4.5282595921175846
1,2011-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,2011,12,51,4,23,4,0,1881176.67,1883782.9975,286477.93220376415,389012.3200000003,20.679201810428594
1,2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,2011,12,52,4,30,4,0,2270188.99,1862127.69,318201.6369551573,-772726.2700000003,-34.0379709972957
1,2012-01-06,1550369.92,0,49.01,3.157,219.7142581,7.348,2012,1,1,1,6,4,0,1497462.72,1799799.575,356609.57176319556,52907.19999999995,3.533123014908842
1,2012-01-13,1459601.17,0,48.53,3.261,219.8925263,7.348,2012,1,2,1,13,4,0,1550369.92,1694405.7,385656.3269904229,-90768.75,-5.854651127390294
1,2012-01-20,1394393.84,0,54.11,3.268,219.9856893,7.348,2012,1,3,1,20,4,0,1459601.17,1475456.9125,65622.25371977451,-65207.32999999984,-4.467475865342027
1,2012-01-27,1319325.59,0,54.26,3.29,220.0788523,7.348,2012,1,4,1,27,4,0,1394393.84,1430922.6300000001,98112.80171398,-75068.25,-5.383575848269668
1,2012-02-03,1636339.65,0,56.55,3.36,220.1720153,7.348,2012,2,5,1,3,4,0,1319325.59,1452415.0625,135350.36507618325,317014.0599999998,24.02849322432985
1,2012-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,2012,2,6,1,10,4,0,1636339.65,1538134.1275,222156.21572786308,166137.78000000003,10.153013159584566
1,2012-02-17,1819870.0,0,45.32,3.51,220.4257586,7.348,2012,2,7,1,17,4,0,1802477.43,1644503.1675,232031.96150547982,17392.570000000065,0.9649258132458316
1,2012-02-24,1539387.83,0,57.25,3.555,220.636902,7.348,2012,2,8,1,24,4,0,1819870.0,1699518.7275,135053.59847206002,-280482.1699999999,-15.412209113837797
1,2012-03-02,1688420.76,0,60.96,3.63,220.8480454,7.348,2012,3,9,1,2,4,0,1539387.83,1712539.0050000001,129321.15310977964,149032.92999999993,9.68131143403933
1,2012-03-09,1675431.16,0,58.76,3.669,221.0591887,7.348,2012,3,10,1,9,4,0,1688420.76,1680777.4375,114636.7671005024,-12989.600000000093,-0.7693342979270222
1,2012-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,2012,3,11,1,16,4,0,1675431.16,1645178.1324999998,70757.10297962656,2041.6200000001118,0.12185639426690095
1,2012-03-23,1511068.07,0,65.93,3.787,221.2864126,7.348,2012,3,12,1,23,4,0,1677472.78,1638098.1925,84878.58274285388,-166404.70999999996,-9.919964841396709
1,2012-03-30,1649604.63,0,67.61,3.845,221.3610119,7.348,2012,3,13,1,30,4,0,1511068.07,1628394.16,79239.059691568,138536.55999999982,9.168121724655318
1,2012-04-06,1899676.88,0,70.43,3.891,221.4356112,7.143,2012,4,14,2,6,4,0,1649604.63,1684455.59,160879.6494375326,250072.25,15.159526437556131
1,2012-04-13,1621031.7,0,69.07,3.891,221.5102105,7.143,2012,4,15,2,13,4,0,1899676.88,1670345.32,164138.3726400529,-278645.17999999993,-14.668030281023366
1,2012-04-20,1521577.87,0,66.76,3.877,221.5640737,7.143,2012,4,16,2,20,4,0,1621031.7,1672972.77,160788.79931627135,-99453.82999999984,-6.135218083643882
1,2012-04-27,1468928.37,0,67.23,3.814,221.6179368,7.143,2012,4,17,2,27,4,0,1521577.87,1627803.705,191908.1233551689,-52649.5,-3.4601909661054675
1,2012-05-04,1684519.99,0,75.55,3.749,221.6718,7.143,2012,5,18,2,4,4,0,1468928.37,1574014.4825,96978.99308632269,215591.61999999988,14.67679598291099
1,2012-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,2012,5,19,2,11,4,0,1684519.99,1571530.57,95489.12664398883,-73423.93999999994,-4.35874554388636
1,2012-05-18,1595901.87,0,70.33,3.63,221.742674,7.143,2012,5,20,2,18,4,0,1611096.05,1590111.57,89577.14311157566,-15194.179999999935,-0.9430958508029321
1,2012-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,2012,5,21,2,25,4,0,1595901.87,1611740.615,53905.366668781426,-40457.320000000065,-2.535075668530927
1,2012-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,2012,6,22,2,1,4,0,1555444.55,1596730.0125000002,29896.966231018472,69033.03000000003,4.438154352721865
1,2012-06-08,1697230.96,0,78.3,3.452,221.7494839,7.143,2012,6,23,2,8,4,0,1624477.58,1618263.74,59779.420941282624,72753.37999999989,4.478570889233195
1,2012-06-15,1630607.0,0,79.35,3.393,221.7626421,7.143,2012,6,24,2,15,4,0,1697230.96,1626940.0225,57942.295517973784,-66623.95999999996,-3.925450428974025
1,2012-06-22,1527845.81,0,78.39,3.346,221.8030211,7.143,2012,6,25,2,22,4,0,1630607.0,1620040.3375,69736.56759614874,-102761.18999999994,-6.302020658564568
1,2012-06-29,1540421.49,0,84.88,3.286,221.8434,7.143,2012,6,26,2,29,4,0,1527845.81,1599026.315,79880.49776589034,12575.679999999935,0.8230987654441344
1,2012-07-06,1769854.16,0,81.57,3.227,221.8837789,6.908,2012,7,27,3,6,4,0,1540421.49,1617182.115,111597.71473643935,229432.66999999993,14.894148873500846
1,2012-07-13,1527014.04,0,77.12,3.256,221.9241579,6.908,2012,7,28,3,13,4,0,1769854.16,1591283.875,119204.76594882054,-242840.11999999988,-13.720911332038789
1,2012-07-20,1497954.76,0,80.42,3.311,221.9327267,6.908,2012,7,29,3,20,4,0,1527014.04,1583811.1124999998,125288.86033609518,-29059.280000000028,-1.9030132820520778
1,2012-07-27,1439123.71,0,82.66,3.407,221.9412954,6.908,2012,7,30,3,27,4,0,1497954.76,1558486.6675,145577.4371439765,-58831.05000000005,-3.9274250178289796
1,2012-08-03,1631135.79,0,86.11,3.417,221.9498642,6.908,2012,8,31,3,3,4,0,1439123.71,1523807.075,80352.0424686347,192012.08000000007,13.342291469855644
1,2012-08-10,1592409.97,0,85.05,3.494,221.9584329,6.908,2012,8,32,3,10,4,0,1631135.79,1540156.0575,87552.39926157038,-38725.820000000065,-2.3741628524992433
1,2012-08-17,1597868.05,0,84.85,3.571,222.0384109,6.908,2012,8,33,3,17,4,0,1592409.97,1565134.3800000001,85732.77482455326,5458.0800000000745,0.34275595498815387
1,2012-08-24,1494122.38,0,77.66,3.62,222.1719457,6.908,2012,8,34,3,24,4,0,1597868.05,1578884.0475,59042.718439170385,-103745.67000000016,-6.492755769163802
1,2012-08-31,1582083.4,0,80.49,3.638,222.3054805,6.908,2012,8,35,3,31,4,0,1494122.38,1566620.95,48773.574891247714,87961.02000000002,5.887136233110973
1,2012-09-07,1661767.33,1,83.96,3.73,222.4390153,6.908,2012,9,36,3,7,4,0,1582083.4,1583960.29,69093.49716391067,79683.93000000017,5.036645350049193
1,2012-09-14,1517428.87,0,74.97,3.717,222.5820193,6.908,2012,9,37,3,14,4,0,1661767.33,1563850.4949999999,75137.92360330603,-144338.45999999996,-8.685840514147065
1,2012-09-21,1506126.06,0,69.87,3.721,222.7818386,6.908,2012,9,38,3,21,4,0,1517428.87,1566851.415,71580.26027120216,-11302.810000000056,-0.744865886201312
1,2012-09-28,1437059.26,0,76.08,3.666,222.9816579,6.908,2012,9,39,3,28,4,0,1506126.06,1530595.3800000001,94387.8361130258,-69066.80000000005,-4.585725048805014
1,2012-10-05,1670785.97,0,68.55,3.617,223.1814772,6.573,2012,10,40,4,5,4,0,1437059.26,1532850.04,98580.21760505742,233726.70999999996,16.264236034358106
1,2012-10-12,1573072.81,0,62.99,3.601,223.3812965,6.573,2012,10,41,4,12,4,0,1670785.97,1546761.0250000001,99599.48901609963,-97713.15999999992,-5.848334960581451
1,2012-10-19,1508068.77,0,67.97,3.594,223.4257233,6.573,2012,10,42,4,19,4,0,1573072.81,1547246.7025,99339.68881687759,-65004.04000000004,-4.1322969659618
1,2012-10-26,1493659.74,0,69.16,3.506,223.4442513,6.573,2012,10,43,4,26,4,0,1508068.77,1561396.8225,80693.88205626284,-14409.030000000028,-0.9554623957898172
2,2010-02-05,2136989.46,0,40.19,2.572,210.7526053,8.324,2010,2,5,1,5,4,0,960746.04,960746.04,0.0,1176243.42,122.43021267097805
2,2010-02-12,2137809.5,1,38.49,2.548,210.8979935,8.324,2010,2,6,1,12,4,0,2136989.46,960746.04,0.0,820.0400000000373,0.03837360994752109
2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,8.324,2010,2,7,1,19,4,0,2137809.5,960746.04,0.0,-13357.959999999963,-0.6248433267791149
2,2010-02-26,1865097.27,0,46.1,2.561,210.9759573,8.324,2010,2,8,1,26,4,0,2124451.54,2066086.9425,134132.4804502037,-259354.27000000002,-12.208057708861649
2,2010-03-05,1991013.13,0,47.17,2.625,211.0067542,8.324,2010,3,9,1,5,4,0,1865097.27,2029592.8599999999,128135.6118084182,125915.85999999987,6.75116853288836
2,2010-03-12,1990483.78,0,57.56,2.667,211.037551,8.324,2010,3,10,1,12,4,0,1991013.13,1992761.43,105906.66812927013,-529.3499999998603,-0.026586966807188278
2,2010-03-19,1946070.88,0,54.52,2.72,210.8733316,8.324,2010,3,11,1,19,4,0,1990483.78,1948166.265,59249.400797846465,-44412.90000000014,-2.2312615880748417
2,2010-03-26,1750197.81,0,51.26,2.732,210.6766095,8.324,2010,3,12,1,26,4,0,1946070.88,1919441.4,114778.12546011778,-195873.06999999983,-10.065053231771284
2,2010-04-02,2066187.72,0,63.27,2.719,210.4798874,8.2,2010,4,13,2,2,4,0,1750197.81,1938235.0475,134810.01372962882,315989.9099999999,18.054525505319877
2,2010-04-09,1954689.21,0,65.41,2.77,210.2831653,8.2,2010,4,14,2,9,4,0,2066187.72,1929286.405,131328.74274214404,-111498.51000000001,-5.396339786590156
2,2010-04-16,1874957.94,0,68.07,2.808,210.1495463,8.2,2010,4,15,2,16,4,0,1954689.21,1911508.17,133100.60976577885,-79731.27000000002,-4.078974273357759
2,2010-04-23,1821990.93,0,65.11,2.795,210.1000648,8.2,2010,4,16,2,23,4,0,1874957.94,1929456.45,106224.69573835905,-52967.01000000001,-2.824970569739821
2,2010-04-30,1802450.29,0,66.98,2.78,210.0505833,8.2,2010,4,17,2,30,4,0,1821990.93,1863522.0925,68060.8170205202,-19540.639999999898,-1.0724883246262866
